leto,Koncna poraba - Skupaj,Koncna poraba - Energetski sektor,Koncna poraba - Predelovalne dejavnosti in gradbenistvo,Koncna poraba - Promet,Koncna poraba - Gospodinjstva,Koncna poraba - Ostala poraba,Koncna poraba energije
2000,10664,142,5490,265,2601,2166,10522
2001,11091,164,5648,256,2675,2348,10927
2002,11823,134,5790,172,2704,3023,11689
2003,12203,138,6543,179,3008,2335,12065
2004,12680,132,6710,189,3012,2637,12548
2005,12872,129,7172,197,2951,2423,12743
2006,13298,133,7440,198,3055,2472,13165
2007,13405,142,7468,195,3021,2579,13263
2008,12945,139,6311,196,3182,3117,12806
2009,11424,130,4966,156,3137,3035,11294
2010,12062,118,5487,173,3219,3066,11945
2011,12612,112,5864,164,3211,3260,12499
2012,12540,112,5922,159,3179,3168,12428
2013,12587,108,5878,154,3229,3219,12479
2014,12560,100,6057,136,3125,3141,12460
2015,12894,107,6198,152,3205,3232,12787

