"Leto"	"Doktor znanosti"	"Magisterij"	"Fakulteta, visoka šola"	"Višja šola"	"Srednja šola - 4.letna"	"Delovodska šola - visokokvalificirana"	"Srednja šola - 3.letna"	"Ožji profil"	"Skupaj zaposleni"
2001	1	1	55	26	217	..	561	335	1196
2002	1	1	54	23	200	..	528	282	1089
2003	1	3	51	29	177	..	492	257	1010
2004	1	2	48	28	171	..	448	211	909
2005	1	3	43	30	163	..	423	189	852
2006	1	3	43	31	152	..	402	160	792
2007	1	4	48	30	137	..	370	139	729
2008	1	4	44	29	118	..	309	123	628
2009	1	4	45	30	103	..	223	90	496
2010	1	4	42	29	92	..	215	62	445
2011	1	5	34	25	80	..	190	44	379
2012	1	4	29	20	59	..	143	31	287

