leto,Kolicine (GWh),Znesek pomoci (SIT),Znesek pomoci (EUR),Visina pomoci (EUR/MWh),Kolicina domacega energenta (tone)
2001,254.3,2510237100,10475034,41.19,271416
2002,562.2,5279172305,22029596,39.18,600000
2003,563.4,4286643416,17887846,31.75,600000
2004,563.0,4937425882,20603513,36.59,600000
2005,563.0,4999441003,20862298,37.06,600000
2006,563.0,4999441003,20862298,37.06,600000
2007,467.4,..,17318494,37.06,500000
2008,467.4,..,14582880,31.20,500000
2009,423.3,..,8783998,20.75,450000
2010,368.3,..,7260060,19.71,391500
2011,379.7,..,7461000,19.65,388600
2012,423.0,..,7461000,17.64,449900

